"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"797","Ryan Hartman","CHI","L","3","27.716666666667","0","1","1","0","1","100.00","3","0.00","0.26","10","7","3","1","1","0","0","0","0","0","0","0","1","3","5","8","3","1","3","25.00"
"561","Ryan Johansen","CBJ, NSH","C","80","1165.6166666667","10","28","15","13","38","67.86","132","7.58","10.83","216","172","122","61","8","10","49","23","22","1","0","15","34","38","111","57","30","531","504","51.30"
"896","Ryan Johnston","MTL","D","3","47.783333333333","0","0","0","0","0","0.00","1","0.00","0.03","5","1","1","0","0","0","0","0","0","0","0","0","1","0","2","6","2","0","0","-"
"134","Ryan Kesler","ANA","C","79","1163.9333333333","15","22","13","9","37","78.72","123","12.20","15.96","263","202","157","75","9","12","50","22","20","2","0","23","28","28","155","102","57","703","493","58.78"
"350","Ryan McDonagh","NYR","D","73","1294.55","7","17","10","7","24","30.38","87","8.05","4.68","202","132","66","8","7","11","16","8","8","0","0","11","49","26","83","90","107","1","0","100.00"
"674","Ryan Murphy","CAR","D","35","536.31666666667","0","9","4","5","9","45.00","36","0.00","1.41","83","53","17","3","2","6","6","3","3","0","0","6","17","11","24","36","21","0","0","-"
"707","Ryan Murray","CBJ","D","82","1482.9166666667","3","11","4","7","14","21.88","59","5.08","2.73","135","81","41","4","3","11","36","18","18","0","0","1","29","12","47","91","137","0","0","-"
"664","Ryan Nugent-Hopkins","EDM","C","55","851.5","8","15","10","5","23","62.16","83","9.64","7.79","164","115","84","32","8","7","16","8","8","0","0","12","26","38","36","60","30","307","405","43.12"
"440","Ryan O'Reilly","BUF","C","71","1160.65","12","25","18","7","37","75.51","105","11.43","8.82","165","132","83","35","8","6","8","4","4","0","0","11","22","41","16","43","34","718","554","56.45"
"820","Ryan Pulock","NYI","D","15","212.71666666667","2","2","1","1","4","30.77","14","14.29","0.51","36","23","3","1","1","1","5","1","0","1","0","1","5","3","13","15","11","0","0","-"
"245","Ryan Reaves","STL","R","64","512.23333333333","3","1","0","1","4","66.67","31","9.68","2.81","55","41","30","14","2","2","34","11","7","4","0","9","7","8","206","59","10","1","1","50.00"
"522","Ryan Spooner","BOS","C","80","975.9","7","25","20","5","32","80.00","117","5.98","7.07","190","153","98","32","12","11","23","10","9","1","0","7","28","24","52","50","17","295","392","42.94"
"510","Ryan Stanton","WSH","D","1","8.6833333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
"668","Ryan Strome","NYI","C, R","71","1004.3166666667","7","17","10","7","24","53.33","119","5.88","11.04","196","161","108","45","6","13","24","12","12","0","0","9","35","33","76","55","19","33","43","43.42"
"122","Ryan Suter","MIN","D","82","1880.6","4","24","13","11","28","33.73","137","2.92","4.72","282","185","72","11","5","14","28","14","14","0","0","5","34","29","56","59","122","0","0","-"
"269","Ryan White","PHI","C","73","775.71666666667","8","5","2","3","13","59.09","80","10.00","6.71","160","111","69","26","5","12","69","22","17","3","2","14","20","14","188","98","37","154","137","52.92"
"853","Sam Bennett","CGY","C","77","1011.4833333333","15","13","9","4","28","68.29","110","13.64","12.11","203","151","135","67","7","17","35","16","15","1","0","27","23","33","105","66","31","150","176","46.01"
"578","Sam Carrick","TOR","C","3","29.633333333333","0","0","0","0","0","-","3","0.00","0.19","3","3","3","1","0","0","4","2","2","0","0","0","0","0","4","7","0","0","0","-"
"326","Sam Gagner","PHI","C","53","632.81666666667","6","7","3","4","13","56.52","71","8.45","4.73","136","102","47","18","4","9","6","3","3","0","0","6","12","19","17","52","14","29","55","34.52"
"851","Sam Reinhart","BUF","C","79","1095.15","15","17","11","6","32","72.73","131","11.45","14.83","221","176","136","72","13","11","6","3","3","0","0","13","18","19","26","111","25","30","70","30.00"
"480","Sami Vatanen","ANA","D","71","1149.3666666667","5","14","8","6","19","40.43","90","5.56","4.24","188","124","56","12","5","11","20","10","10","0","0","6","43","26","73","99","80","0","0","-"
"24","Scott Gomez","OTT, STL","C","34","331.01666666667","1","4","3","1","5","62.50","19","5.26","1.4","31","25","16","7","0","1","4","2","2","0","0","2","11","6","3","14","10","117","139","45.70"
"660","Scott Harrington","TOR","D","15","185.25","0","1","0","1","1","20.00","9","0.00","0.37","31","17","6","0","1","1","4","2","2","0","0","0","3","1","21","23","16","0","0","-"
"46","Scott Hartnell","CBJ","L","79","1027.2","13","24","14","10","37","72.55","119","10.92","12.31","185","153","108","61","5","18","74","30","27","2","1","17","29","18","124","61","40","0","3","0.00"
"740","Scott Kosmachuk","WPG","R","8","88.816666666667","0","3","2","1","3","100.00","9","0.00","0.88","12","11","6","4","0","1","2","1","1","0","0","0","2","1","7","12","2","0","0","-"
"719","Scott Laughton","PHI","C","71","684.9","7","14","7","7","21","87.50","83","8.43","6.29","141","107","76","35","7","11","27","12","11","1","0","6","20","22","85","59","26","167","214","43.83"
"645","Scott Mayfield","NYI","D","6","90.866666666667","1","0","0","0","1","33.33","4","25.00","0.11","11","6","2","0","0","0","11","4","3","1","0","1","3","0","12","5","13","0","0","-"
"608","Scott Wilson","PIT","L","24","235.2","5","1","1","0","6","85.71","36","13.89","2.89","54","46","30","12","1","3","7","2","1","1","0","5","5","5","38","47","6","0","0","-"
"94","Scottie Upshall","STL","R","70","676.21666666667","6","5","4","1","11","52.38","108","5.56","9.55","175","142","86","38","7","11","34","13","12","0","1","20","10","16","88","69","12","11","17","39.29"
"422","Sean Collins","WSH","C","2","16.316666666667","0","0","0","0","0","-","0","-","0.1","1","1","1","1","1","0","2","1","1","0","0","2","0","0","0","0","2","0","0","-"
"671","Sean Couturier","PHI","C","63","935.5","9","22","15","7","31","72.09","88","10.23","10.19","158","114","83","39","4","12","28","14","14","0","0","14","24","18","31","92","24","453","481","48.50"
"812","Sean Monahan","CGY","C","81","1222.7833333333","20","23","15","8","43","66.15","149","13.42","14.9","261","200","169","74","6","13","16","8","8","0","0","9","33","54","33","29","34","688","641","51.77"
"895","Sergei Plotnikov","ARI, PIT","L","45","434.6","0","3","2","1","3","42.86","40","0.00","3.53","76","60","41","19","2","3","24","12","12","0","0","7","15","12","107","66","10","1","1","50.00"
"889","Sergey Kalinin","N.J","C","78","921.15","5","7","3","4","12","52.17","62","8.06","6.87","107","85","65","37","3","7","26","12","12","0","0","15","17","22","140","74","28","126","173","42.14"
"828","Sergey Tolchinsky","CAR","L","2","23.583333333333","0","1","1","0","1","100.00","1","0.00","0.09","3","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0.00"
"690","Seth Griffith","BOS","C","4","32.2","0","0","0","0","0","-","2","0.00","0.08","4","3","0","0","0","0","4","2","2","0","0","0","0","0","4","3","0","0","0","-"
"494","Seth Helgeson","N.J","D","19","255.61666666667","0","1","1","0","1","50.00","8","0.00","0.47","21","17","1","0","0","1","10","5","5","0","0","3","8","1","44","25","23","0","0","-"
