,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Paul Byron,MON,C,62,11,7,18,-9,11,50,2,0,0,3,2,112,25
Ryan Callahan,OTT,RW,73,10,18,28,-5,45,156,1,2,2,0,0,164,71
Matt Calvert,COL,LW,73,11,13,24,1,51,114,1,1,0,0,0,91,46
Michael Cammalleri,FA,LW,42,14,24,38,15,18,101,1,3,7,0,0,15,13
Andrew Campbell,FA,D,6,0,1,1,0,2,1,0,0,0,0,0,5,10
Brian Campbell,FA,D,82,6,25,31,31,26,99,1,0,8,1,0,27,80
Gregory Campbell,FA,C,82,3,8,11,-6,78,58,2,0,0,0,0,100,56
Paul Carey,BOS,RW,4,1,0,1,0,0,5,0,0,0,0,0,6,1
Matt Carle,FA,D,64,2,7,9,4,26,54,1,0,0,0,0,30,91
John Carlson,WAS,D,56,8,31,39,16,14,124,4,2,12,0,1,46,114
Jordan Caron,FA,RW,4,0,0,0,-3,0,1,0,0,0,0,0,6,0
Ryan Carpenter,CHI,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Daniel Carr,NSH,LW,23,6,3,9,0,8,39,1,1,0,0,0,25,5
Connor Carrick,NJ,D,19,2,2,4,-5,15,21,1,0,1,0,0,38,19
Sam Carrick,ANH,C,3,0,0,0,-2,4,4,0,0,0,0,0,4,0
Trevor Carrick,SJ,D,2,0,0,0,-1,0,3,0,0,0,0,0,1,2
Jeff Carter,LA,C,77,24,38,62,18,20,242,6,4,8,1,1,89,39
Ryan Carter,FA,LW,60,7,5,12,-3,48,62,0,0,0,1,0,87,37
Daniel Catenacci,FA,LW,11,0,0,0,-2,0,7,0,0,0,0,0,22,2
Cody Ceci,TOR,D,75,10,16,26,9,18,116,2,0,2,0,0,70,130
Michael Chaput,ARI,C,8,1,1,2,3,5,10,0,0,0,0,0,13,3
Zdeno Chara,BOS,D,80,9,28,37,12,71,158,3,1,9,0,2,134,123
Ben Chiarot,MON,D,70,1,9,10,-9,43,74,0,0,0,0,0,130,105
Alex Chiasson,EDM,RW,77,8,6,14,2,45,88,1,2,0,1,0,103,28
Jason Chimera,FA,LW,82,20,20,40,0,22,165,3,4,5,2,0,103,13
Kyle Chipchura,FA,C,70,4,8,12,-10,38,47,1,0,1,0,0,73,13
Taylor Chorney,FA,D,55,1,5,6,8,21,28,0,0,0,0,0,56,58
Casey Cizikas,NYI,C,80,8,21,29,4,31,84,4,0,0,1,2,158,62
Fredrik Claesson,CAR,D,16,0,2,2,-6,2,15,0,0,0,0,0,33,30
David Clarkson,TOR,RW,23,2,2,4,-8,23,24,1,0,0,0,0,45,6
Adam Clendening,CLS,D,29,1,6,7,6,20,43,0,0,0,0,0,19,34
Kyle Clifford,LA,LW,56,3,6,9,-1,55,68,0,0,0,0,0,111,11
Rich Clune,TOR,LW,19,0,4,4,1,22,10,0,0,0,0,0,58,5
Cal Clutterbuck,NYI,RW,77,15,8,23,7,22,80,5,0,0,2,1,288,34
Braydon Coburn,TB,D,80,1,9,10,12,53,92,0,0,0,0,1,111,88
Andrew Cogliano,DAL,LW,82,9,23,32,2,28,131,3,0,0,2,1,124,27
Carlo Colaiacovo,FA,D,36,1,4,5,-11,10,29,0,0,1,0,0,36,41
Joe Colborne,FA,C,73,19,25,44,-9,27,100,2,3,2,0,0,122,28
Ian Cole,COL,D,70,0,12,12,-3,59,72,0,0,1,0,0,122,122
Sean Collins,FA,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,2
Blake Comeau,DAL,LW,81,12,24,36,-9,58,142,3,2,6,2,0,173,35
Erik Condra,COL,RW,54,6,5,11,-4,34,58,0,0,0,0,0,20,16
Kevin Connauton,COL,D,65,5,12,17,7,60,109,0,0,3,0,0,100,58
Brett Connolly,FLA,RW,71,9,16,25,-1,20,95,2,2,3,0,0,137,36
Andrew Copp,WPG,C,77,7,6,13,8,6,54,0,0,0,0,0,87,18
Patrice Cormier,FA,C,2,0,0,0,0,0,1,0,0,0,0,0,1,0
Frank Corrado,TOR,D,39,1,5,6,-12,26,46,0,0,1,0,0,46,37
Nick Cousins,MON,C,36,6,5,11,5,4,41,1,0,2,0,0,38,17
Logan Couture,SJ,C,52,15,21,36,2,20,137,4,5,10,0,0,29,38
Sean Couturier,PHI,C,63,11,28,39,8,30,119,1,2,5,0,1,31,30
Jared Cowen,FA,D,37,0,4,4,7,16,23,0,0,0,0,0,116,58
Charlie Coyle,BOS,RW,82,21,21,42,1,16,140,4,2,4,0,1,131,61
Adam Cracknell,FA,C,52,5,5,10,-1,20,68,1,0,0,0,0,124,25
Sidney Crosby,PIT,C,80,36,49,85,19,42,248,9,10,14,0,0,90,35
Tommy Cross,FLA,D,3,0,1,1,-1,0,0,0,0,0,0,1,3,1
Matt Cullen,FA,C,82,16,16,32,5,20,118,4,0,0,3,3,40,41
Craig Cunningham,FA,LW,10,0,1,1,-1,2,13,0,0,0,0,0,15,4
Klas Dahlbeck,FA,D,71,2,6,8,-5,28,64,0,0,0,0,1,178,76
Trevor Daley,DET,D,82,6,22,28,9,34,130,0,1,8,0,0,42,79
Zac Dalpe,CLS,C,2,1,0,1,0,0,3,0,0,0,0,0,3,0
Phillip Danault,MON,C,51,4,6,10,-5,14,72,1,0,0,0,0,45,28
Marko Dano,CLS,C,34,5,5,10,-7,10,54,0,0,1,0,0,62,15
