,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Tomas Plekanec,FA,C,82,14,40,54,4,36,189,1,1,12,0,0,60,46
Sergei Plotnikov,FA,LW,45,0,3,3,-3,24,41,0,0,0,0,0,107,10
Emile Poirier,WPG,LW,2,0,0,0,-1,2,3,0,0,0,0,0,4,1
Roman Polak,DAL,D,79,1,15,16,6,72,91,0,0,0,0,0,303,146
Jason Pominville,FA,RW,75,11,25,36,10,12,187,2,3,7,0,0,31,31
Chris Porter,FA,LW,61,4,3,7,-6,6,45,0,0,0,0,0,157,12
Kevin Porter,BUF,C,41,0,3,3,-2,0,34,0,0,0,0,0,96,25
Paul Postma,FA,D,26,2,0,2,-3,4,24,0,0,0,0,0,13,14
Corey Potter,FA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Benoit Pouliot,FA,LW,55,14,22,36,-6,30,109,0,5,4,1,0,35,25
Derrick Pouliot,STL,D,22,0,7,7,4,2,25,0,0,0,0,0,16,18
Shane Prince,FA,LW,62,6,11,17,5,10,88,1,0,0,0,0,24,14
Nate Prosser,PHI,D,54,0,3,3,1,39,20,0,0,0,0,1,34,73
Dalton Prout,SJ,D,64,3,6,9,-6,102,69,0,0,0,0,0,139,70
Brandon Prust,FA,LW,35,1,6,7,-3,59,19,1,0,0,0,0,40,15
Matt Puempel,DET,LW,26,2,1,3,-3,9,26,1,0,0,0,0,18,10
Teemu Pulkkinen,FA,RW,36,6,6,12,2,14,65,1,1,2,0,0,5,8
Ryan Pulock,NYI,D,15,2,2,4,1,5,15,0,0,0,0,0,13,11
Teddy Purcell,FA,RW,76,14,29,43,-11,12,149,2,2,8,0,1,31,15
Mark Pysyk,FLA,D,55,1,10,11,-1,32,44,0,0,1,0,1,37,49
Kyle Quincey,FA,D,47,4,7,11,1,36,62,2,0,0,0,0,49,62
Alan Quine,CGY,C,2,1,0,1,0,0,5,0,0,0,1,0,3,3
Michael Raffl,PHI,LW,82,13,18,31,9,30,132,4,1,1,0,0,135,34
Rickard Rakell,ANH,C,72,20,23,43,-1,19,169,7,4,6,0,0,121,30
John Ramage,FA,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,4
Tyler Randell,BUF,RW,27,6,0,6,-2,47,18,1,0,0,0,0,39,8
Mikko Rantanen,COL,RW,9,0,0,0,-7,2,9,0,0,0,0,0,0,11
Victor Rask,MIN,C,80,21,27,48,-6,24,160,5,5,13,0,0,32,34
Dennis Rasmussen,FA,RW,44,4,5,9,9,4,42,1,0,0,0,0,36,20
Ty Rattie,FA,RW,13,4,2,6,1,4,16,0,0,0,0,0,6,2
Kyle Rau,MIN,C,9,0,0,0,-1,2,15,0,0,0,0,0,4,3
Mason Raymond,FA,LW,29,4,1,5,-3,8,53,0,0,0,0,0,12,7
Matt Read,TOR,RW,79,11,15,26,-5,27,127,2,2,5,0,0,81,60
Ryan Reaves,VGK,RW,64,3,1,4,-6,68,31,0,0,0,0,0,206,10
Zach Redmond,BUF,D,37,2,4,6,5,10,22,0,1,0,0,0,47,39
Brent Regner,FA,D,7,0,0,0,-2,4,7,0,0,0,0,0,4,7
Mike Reilly,MON,D,29,1,6,7,-4,8,27,0,0,2,0,0,3,23
Griffin Reinhart,FA,D,29,0,1,1,-6,20,24,0,0,0,0,0,62,46
Sam Reinhart,BUF,C,79,23,19,42,-8,8,165,3,8,2,0,0,26,26
Borna Rendulic,FA,RW,3,0,0,0,-2,0,1,0,0,0,0,0,1,3
Mike Ribeiro,FA,C,81,7,43,50,11,62,76,0,2,13,0,0,61,20
Brad Richards,FA,C,68,10,18,28,4,8,164,1,4,10,0,0,16,12
Mike Richards,FA,C,39,2,3,5,-2,8,46,1,0,0,0,0,39,19
Brad Richardson,ARI,C,82,11,20,31,8,46,117,3,0,0,0,0,57,53
Tobias Rieder,CGY,RW,82,14,23,37,-21,10,189,1,2,6,0,1,54,43
Morgan Rielly,TOR,D,82,9,27,36,-17,28,167,0,2,6,1,0,58,122
James van Riemsdyk,PHI,LW,40,14,15,29,3,6,129,0,5,4,0,0,52,7
Trevor van Riemsdyk,CAR,D,82,3,11,14,-5,31,85,1,0,2,0,1,44,155
Zac Rinaldo,CGY,C,52,1,2,3,-5,83,38,0,0,0,0,0,154,15
Rasmus Ristolainen,BUF,D,82,9,32,41,-21,33,202,1,4,17,0,0,139,137
Brett Ritchie,BOS,RW,8,0,1,1,-3,7,15,0,0,0,0,0,30,3
Nick Ritchie,ANH,LW,33,2,2,4,-2,37,55,0,0,0,0,0,93,10
Buddy Robinson,CGY,RW,3,1,1,2,2,4,5,1,0,0,0,0,11,1
Evan Rodrigues,BUF,C,2,1,1,2,2,0,8,0,0,0,0,0,3,0
Jacob De La Rose,DET,C,22,0,1,1,-6,6,20,0,0,0,0,0,39,19
Antoine Roussel,VAN,LW,80,13,16,29,11,123,111,6,0,1,0,1,123,58
Michal Rozsival,FA,D,51,1,12,13,3,33,41,0,0,2,0,1,81,63
Chad Ruhwedel,PIT,D,1,0,0,0,0,2,1,0,0,0,0,0,3,2
David Rundblad,FA,D,9,0,2,2,-2,6,13,0,0,2,0,0,3,3
Kris Russell,EDM,D,62,4,15,19,-5,10,70,1,2,2,0,0,40,210
Bryan Rust,PIT,RW,41,4,7,11,1,12,68,1,0,1,0,0,62,23
Tuomo Ruutu,FA,LW,33,0,1,1,-7,8,34,0,0,0,0,0,63,8
Bobby Ryan,OTT,RW,81,22,34,56,-9,28,183,2,6,10,0,0,106,24
Derek Ryan,CGY,C,6,2,0,2,1,2,5,0,1,0,0,0,2,0
Kerby Rychel,FA,LW,32,2,7,9,5,15,32,0,0,0,0,0,39,9
Brandon Saad,CHI,LW,78,31,22,53,1,14,233,7,6,2,0,1,43,25
Miikka Salomaki,NSH,RW,61,5,5,10,-1,28,61,1,0,0,0,1,164,30
Philip Samuelsson,FA,D,4,0,0,0,0,2,5,0,0,0,0,0,3,11
Steve Santini,NSH,D,1,0,0,0,2,2,1,0,0,0,0,0,0,2
Mike Santorelli,FA,C,70,9,9,18,-4,8,81,1,1,2,0,0,28,20
David Savard,CLS,D,65,4,21,25,-7,45,122,0,1,4,0,1,122,111
Luca Sbisa,NYI,D,41,2,6,8,5,26,29,1,0,0,0,1,71,58
Marco Scandella,BUF,D,73,5,16,21,6,22,126,0,2,1,0,1,66,105
Colton Sceviour,FLA,RW,71,11,12,23,6,21,125,1,1,2,0,1,71,52
Tim Schaller,VAN,C,17,1,2,3,3,2,18,1,0,0,1,0,13,9
Mark Scheifele,WPG,C,71,29,32,61,16,48,194,3,7,4,0,0,53,36
Brayden Schenn,STL,LW,80,26,33,59,3,33,178,5,11,11,0,0,187,30
Luke Schenn,TB,D,72,4,12,16,-2,82,76,0,1,0,0,0,234,106
David Schlemko,FA,D,67,6,13,19,-22,16,104,3,1,11,0,0,47,88
Nate Schmidt,VGK,D,72,2,14,16,12,16,80,1,0,0,0,0,69,111
Cole Schneider,NSH,LW,2,0,0,0,0,0,5,0,0,0,0,0,3,0
Jordan Schroeder,FA,C,26,2,2,4,2,2,30,0,0,0,0,0,15,13
Jeff Schultz,FA,D,1,0,0,0,-1,0,1,0,0,0,0,0,0,2
Justin Schultz,PIT,D,63,4,14,18,-15,16,82,0,2,6,0,0,36,72
Nick Schultz,FA,D,81,1,9,10,-1,42,70,0,0,0,0,0,85,174
Jaden Schwartz,STL,LW,33,8,14,22,8,8,63,1,1,4,0,0,26,21
John Scott,FA,LW,12,0,1,1,-1,27,6,0,0,0,0,0,23,3
Robert Scuderi,FA,D,63,0,10,10,7,10,35,0,0,0,0,1,31,75
Brent Seabrook,CHI,D,81,14,35,49,6,32,167,3,6,19,0,0,121,150
Daniel Sedin,FA,LW,82,28,33,61,7,36,258,6,8,11,0,1,20,19
Henrik Sedin,FA,C,74,11,44,55,0,24,99,0,5,15,1,0,9,19
Tyler Seguin,DAL,C,72,33,40,73,2,16,278,6,7,17,0,0,80,27
Dennis Seidenberg,FA,D,61,1,11,12,-1,24,66,0,0,1,0,0,127,120
Jiri Sekac,FA,RW,39,1,5,6,-5,16,49,0,1,1,0,0,50,18
Andrej Sekera,DAL,D,81,6,24,30,-15,12,155,2,2,12,0,1,60,156
Eric Selleck,FA,LW,1,0,0,0,0,5,1,0,0,0,0,0,3,0
Alexander Semin,FA,LW,15,1,3,4,1,12,18,0,0,0,0,0,6,4
Tom Sestito,FA,LW,4,0,1,1,1,19,1,0,0,0,0,0,13,1
Damon Severson,NJ,D,72,1,20,21,-8,32,94,0,0,5,0,0,66,41
Michael Sgarbossa,FA,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Patrick Sharp,FA,LW,76,20,35,55,-3,27,226,6,7,17,0,0,76,24
Kevin Shattenkirk,TB,D,72,14,30,44,-14,51,180,1,6,20,0,1,82,113
Andrew Shaw,CHI,C,78,14,20,34,11,69,153,2,4,4,0,0,148,21
Logan Shaw,WPG,RW,53,5,2,7,-7,13,72,1,1,0,0,0,88,20
Riley Sheahan,EDM,C,81,14,11,25,-8,12,128,2,3,1,1,0,72,40
Conor Sheary,BUF,LW,44,7,3,10,-1,8,51,0,0,0,0,0,15,5
Hunter Shinkaruk,CAR,C,8,2,1,3,-4,2,12,0,1,1,0,0,9,3
Devin Shore,ANH,C,3,0,0,0,2,0,1,0,0,0,0,0,2,0
Drew Shore,FA,C,2,0,1,1,0,2,3,0,0,0,0,0,0,1
Nick Shore,TOR,C,68,3,7,10,-10,32,90,1,0,2,0,0,97,17
Patrick Sieloff,ANH,D,1,1,0,1,1,2,1,1,0,0,0,0,3,2
Jakob Silfverberg,ANH,RW,82,20,19,39,8,32,215,2,2,2,0,1,87,58
Zach Sill,FA,RW,10,1,0,1,0,2,13,0,0,0,0,0,20,6
Wayne Simmonds,NJ,RW,81,32,28,60,-7,147,229,5,13,8,0,0,192,44
Dominik Simon,PIT,C,3,0,1,1,0,0,2,0,0,0,0,0,1,1
Mike Sislo,FA,RW,18,3,1,4,-2,4,29,0,1,0,0,0,25,6
Colton Sissons,NSH,RW,34,4,2,6,5,12,25,0,0,0,0,0,35,20
Jack Skille,FA,RW,74,8,6,14,-4,11,106,0,0,0,0,0,97,25
Jeff Skinner,BUF,LW,82,28,23,51,-2,38,258,7,4,3,0,0,21,17
Brady Skjei,NYR,D,7,0,0,0,1,4,6,0,0,0,0,0,11,11
Jaccob Slavin,CAR,D,63,2,18,20,1,8,84,0,0,4,0,1,41,119
Anton Slepyshev,EDM,LW,11,0,1,1,-5,2,5,0,0,0,0,0,13,1
Ladislav Smid,FA,D,22,0,0,0,-7,6,11,0,0,0,0,0,39,33
Ben Smith,FA,RW,22,2,4,6,2,0,17,1,0,0,0,0,18,16
Brendan Smith,NYR,D,63,3,12,15,1,62,82,0,1,0,0,0,94,42
Craig Smith,NSH,RW,82,21,16,37,4,40,199,6,2,3,0,0,84,18
Reilly Smith,VGK,RW,82,25,25,50,19,31,173,3,5,6,0,1,85,39
Zack Smith,CHI,C,81,25,11,36,16,80,121,4,4,1,5,1,175,26
Devante Smith-Pelly,CGY,RW,64,14,11,25,-3,30,94,5,0,1,0,0,105,23
Carl Soderberg,ARI,C,82,12,39,51,-7,32,163,0,3,11,1,1,27,71
Nikita Soshnikov,FA,LW,11,2,3,5,-4,6,33,0,1,0,0,0,34,6
Nick Spaling,FA,C,58,3,10,13,-2,24,53,0,0,0,0,0,65,45
Jason Spezza,TOR,C,75,33,30,63,4,22,202,7,9,15,0,0,9,20
Ryan Spooner,FA,C,80,13,36,49,-9,35,162,4,6,11,0,0,53,19
Daniel Sprong,ANH,RW,18,2,0,2,-1,0,23,0,0,0,0,0,14,3
Jared Spurgeon,MIN,D,77,11,18,29,11,14,122,2,5,8,0,3,51,157
Eric Staal,MIN,C,83,13,26,39,-2,34,199,0,1,6,0,0,74,33
Jordan Staal,CAR,C,82,20,28,48,6,34,151,4,6,4,0,2,165,31
Marc Staal,NYR,D,77,2,13,15,2,36,65,1,0,0,0,0,65,120
Drew Stafford,MIN,RW,78,21,17,38,-23,28,187,6,6,3,1,2,59,15
Matt Stajan,FA,C,80,6,11,17,-4,52,58,0,0,0,2,1,77,45
Viktor Stalberg,FA,LW,75,9,11,20,6,22,125,0,0,0,0,0,144,33
Steven Stamkos,TB,C,77,36,28,64,3,38,216,8,14,9,1,2,109,35
Ryan Stanton,LA,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0
Paul Stastny,VGK,C,64,10,39,49,3,26,103,2,2,12,0,0,32,40
Alexander Steen,STL,LW,67,17,35,52,3,48,172,2,2,19,1,0,50,35
Lee Stempniak,FA,RW,82,19,32,51,4,38,146,4,3,9,1,0,113,34
Derek Stepan,ARI,C,72,22,31,53,5,20,192,5,5,9,3,0,38,39
Chandler Stephenson,WAS,RW,9,0,0,0,-3,2,2,0,0,0,0,0,5,4
Chris Stewart,PHI,RW,56,8,12,20,2,73,78,1,1,4,0,0,72,10
Jarret Stoll,FA,C,80,4,5,9,-1,36,49,0,0,0,0,0,117,69
Mark Stone,VGK,RW,75,23,38,61,-4,38,151,1,5,10,1,2,55,54
Michael Stone,CGY,D,75,6,30,36,-10,62,161,1,0,14,0,0,137,143
Clayton Stoner,FA,D,50,1,5,6,4,67,32,0,0,0,0,1,123,55
Tyson Strachan,FA,D,2,0,0,0,1,0,0,0,0,0,0,0,4,0
Brian Strait,NJ,D,52,1,5,6,1,31,43,0,0,0,0,1,106,65
Anton Stralman,FLA,D,73,9,25,34,16,20,127,0,1,11,0,0,99,73
Ben Street,NJ,C,7,0,0,0,-1,4,8,0,0,0,0,0,6,4
Mark Streit,FA,D,62,6,17,23,-1,18,110,1,2,6,0,0,28,90
Ryan Strome,NYR,C,71,8,20,28,-9,28,132,0,1,3,0,0,77,19
Brad Stuart,FA,D,6,0,0,0,-2,0,0,0,0,0,0,0,11,7
Mark Stuart,FA,D,64,1,2,3,-7,66,39,0,0,0,0,1,162,120
P.K. Subban,NJ,D,68,6,45,51,4,75,176,0,2,22,0,0,102,80
Chris Summers,FA,D,3,0,0,0,-2,4,5,0,0,0,0,0,4,1
Oskar Sundqvist,STL,C,18,1,3,4,0,4,13,1,0,0,1,0,18,5
Andrej Sustr,FA,D,77,4,17,21,-2,30,65,1,0,0,0,0,29,66
Ryan Suter,MIN,D,82,8,43,51,10,30,188,2,3,18,1,1,69,142
Brandon Sutter,VAN,C,20,5,4,9,3,2,45,2,1,0,1,0,12,10
Brody Sutter,FA,C,8,0,0,0,-4,0,7,0,0,0,0,0,21,0
Viktor Svedberg,FA,D,27,2,2,4,-5,4,40,0,0,0,0,0,11,28
Maxime Talbot,FA,C,38,2,5,7,-11,15,29,1,0,1,0,0,66,28
Brandon Tanev,PIT,LW,3,0,0,0,0,2,4,0,0,0,0,0,7,2
Chris Tanev,VAN,D,69,4,14,18,-8,8,42,0,2,1,0,1,18,166
Eric Tangradi,FA,LW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Alex Tanguay,FA,LW,70,8,27,35,8,32,71,1,1,8,0,1,22,36
Matt Taormina,FA,D,3,0,0,0,0,0,2,0,0,0,0,0,1,3
Vladimir Tarasenko,STL,RW,80,40,34,74,7,37,292,7,12,12,0,0,32,28
Tomas Tatar,MON,LW,81,21,24,45,4,24,165,3,7,8,0,0,74,18
John Tavares,TOR,C,78,33,37,70,6,38,250,5,7,12,0,0,51,29
Matt Tennyson,NJ,D,30,1,3,4,1,0,23,0,1,0,0,0,23,18
Teuvo Teravainen,CAR,C,78,13,22,35,-2,20,136,3,2,7,0,1,24,31
Chris Terry,DET,LW,68,8,3,11,-12,16,78,0,0,0,0,0,82,21
Shea Theodore,VGK,D,19,3,5,8,7,2,28,1,2,1,0,0,6,22
Christian Thomas,FA,RW,6,0,2,2,1,2,9,0,0,0,0,0,5,1
Nate Thompson,MON,C,49,3,3,6,-1,47,42,0,0,0,1,0,103,40
Paul Thompson,FLA,LW,3,0,0,0,0,2,3,0,0,0,0,0,3,0
Chris Thorburn,FA,RW,82,6,6,12,-1,81,70,2,0,0,1,0,146,32
Joe Thornton,SJ,C,82,19,63,82,25,54,121,6,8,21,0,0,48,30
Shawn Thornton,FA,LW,50,1,4,5,-2,80,58,0,0,0,0,0,73,2
Chris Tierney,OTT,C,79,7,13,20,-16,20,96,2,1,0,1,0,24,39
Viktor Tikhonov,FA,LW,50,3,3,6,-10,20,41,1,2,0,0,0,54,25
Jarred Tinordi,NSH,D,10,0,0,0,-5,17,3,0,0,0,0,0,22,11
Jiri Tlusty,FA,LW,30,2,2,4,-1,6,38,0,1,1,0,0,39,13
Jonathan Toews,CHI,C,80,28,30,58,16,62,179,8,6,3,4,3,81,38
Tyler Toffoli,LA,RW,82,31,27,58,35,20,213,4,9,2,1,0,70,19
Sergey Tolchinsky,FA,LW,2,0,1,1,1,0,1,0,0,0,0,0,1,0
Jordin Tootoo,FA,RW,66,4,5,9,-26,102,90,0,2,3,0,0,99,18
Vincent Trocheck,FLA,C,76,25,28,53,15,44,174,4,4,9,1,0,125,41
Zach Trotman,PIT,D,38,2,5,7,3,22,60,0,0,0,0,0,71,49
Jacob Trouba,NYR,D,81,6,15,21,10,62,133,0,0,4,1,1,144,177
Nikita Tryamkin,FA,D,13,1,1,2,-3,10,11,0,0,0,0,0,31,23
Kyle Turris,NSH,C,57,13,17,30,-15,32,122,2,3,5,0,1,44,31
Fedor Tyutin,FA,D,61,1,2,3,-6,28,25,0,0,0,0,0,128,71
R.J. Umberger,FA,LW,39,2,9,11,1,15,48,0,1,1,0,0,59,15
Scottie Upshall,DAL,LW,70,6,8,14,5,44,113,1,0,0,0,3,92,16
Rinat Valiev,CGY,D,10,0,0,0,0,0,7,0,0,0,0,0,9,4
Chris VandeVelde,FA,C,79,2,12,14,-7,27,77,0,0,0,1,0,139,60
Thomas Vanek,FA,LW,74,18,23,41,-10,22,146,5,6,8,0,0,18,17
Philip Varone,MON,C,6,1,2,3,2,2,2,0,0,0,0,0,4,6
Sami Vatanen,NJ,D,71,9,29,38,8,20,140,2,4,15,0,0,85,105
Frank Vatrano,FLA,LW,39,8,3,11,-3,14,99,1,0,0,0,0,61,23
Antoine Vermette,FA,C,76,17,21,38,-14,93,123,2,6,10,1,0,55,57
Joel Vermin,FA,RW,6,0,1,1,1,0,1,0,0,0,0,0,6,2
Kris Versteeg,CHI,LW,77,15,23,38,0,45,156,4,2,7,0,0,20,32
Linden Vey,FA,C,41,4,11,15,-14,6,40,0,3,2,0,0,4,9
Jake Virtanen,VAN,LW,55,7,6,13,-7,45,94,1,1,0,0,0,128,22
Joe Vitale,FA,C,1,0,0,0,1,5,1,0,0,0,0,0,1,0
Marc-Edouard Vlasic,SJ,D,67,8,31,39,15,48,116,0,2,8,0,2,47,129
Jakub Voracek,PHI,LW,73,11,44,55,-5,38,213,2,1,22,0,0,51,34
Radim Vrbata,FA,RW,63,13,14,27,-30,12,199,0,5,4,0,0,15,12
Chris Wagner,BOS,RW,43,4,2,6,-2,28,55,1,0,0,0,0,95,27
Joel Ward,FA,RW,79,21,22,43,-15,28,138,3,5,7,1,1,68,53
David Warsofsky,FA,D,22,1,1,2,-9,2,40,0,1,1,0,0,5,23
Austin Watson,NSH,LW,57,3,7,10,-4,32,55,0,0,0,0,0,74,45
Jordan Weal,MON,C,14,0,0,0,1,2,4,0,0,0,0,0,5,2
Mike Weber,FA,D,45,1,4,5,2,60,40,0,0,0,0,0,108,61
Shea Weber,MON,D,78,20,31,51,-7,27,189,1,14,12,0,1,169,160
Yannick Weber,NSH,D,45,0,7,7,-17,24,65,0,0,5,0,0,49,37
Dale Weise,MON,RW,71,14,13,27,4,24,136,1,3,3,0,0,127,26
Jeremy Welsh,FA,C,2,0,0,0,0,2,0,0,0,0,0,0,4,0
Alexander Wennberg,CLS,C,69,8,32,40,-1,2,97,1,1,11,0,0,32,46
Blake Wheeler,WPG,RW,82,26,52,78,8,49,256,5,3,14,2,2,92,56
Ryan White,FA,RW,73,11,5,16,-9,101,88,0,3,0,0,0,208,51
Chris Wideman,ANH,D,64,6,7,13,4,34,87,2,1,1,0,0,57,71
Dennis Wideman,FA,D,51,2,17,19,-9,30,75,0,2,6,0,0,37,77
Patrick Wiercioch,FA,D,52,0,5,5,2,24,56,0,0,2,0,0,53,56
Justin Williams,FA,RW,82,22,30,52,15,36,201,3,3,6,0,1,32,43
Colin Wilson,COL,LW,64,6,18,24,-1,14,108,0,1,0,0,0,61,25
Garrett Wilson,TOR,LW,29,0,0,0,-3,24,28,0,0,0,0,0,75,4
Scott Wilson,BUF,LW,24,5,1,6,0,12,39,1,0,0,0,0,38,6
Tom Wilson,WAS,RW,82,7,16,23,3,163,99,1,0,1,0,1,253,48
Tommy Wingels,FA,RW,68,7,11,18,-10,63,111,0,1,2,0,2,203,54
Daniel Winnik,FA,LW,76,6,13,19,4,38,101,0,0,0,0,0,53,46
James Wisniewski,FA,D,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Luke Witkowski,TB,D,4,0,0,0,0,4,1,0,0,0,0,0,8,1
Miles Wood,NJ,LW,1,0,0,0,0,0,2,0,0,0,0,0,1,0
Brendan Woods,BOS,LW,5,0,0,0,0,7,5,0,0,0,0,0,3,0
Tyler Wotherspoon,STL,D,11,0,1,1,0,0,9,0,0,0,0,0,14,16
Nail Yakupov,FA,RW,60,8,15,23,-16,24,127,1,1,5,0,0,54,21
Keith Yandle,FLA,D,82,5,42,47,-4,40,160,1,2,20,0,0,43,68
Pavel Zacha,NJ,C,1,0,2,2,4,0,3,0,0,0,0,0,1,0
Nikita Zadorov,COL,D,22,0,2,2,-5,12,18,0,0,0,0,0,53,16
Travis Zajac,NJ,C,74,14,28,42,3,25,111,2,6,11,2,1,65,41
Mike Zalewski,FA,LW,3,0,1,1,1,2,2,0,0,0,0,0,7,0
Henrik Zetterberg,DET,LW,82,13,37,50,-15,24,214,3,2,20,0,0,54,26
Mika Zibanejad,NYR,C,81,21,30,51,-2,18,184,7,2,9,2,0,111,43
Marek Zidlicky,FA,D,53,4,12,16,5,20,48,1,0,4,0,0,39,68
Harry Zolnierczyk,NYR,LW,1,0,0,0,-1,0,1,0,0,0,0,0,3,0
Michael Del Zotto,ANH,D,52,4,9,13,-8,16,98,1,0,1,0,0,140,104
Dainius Zubrus,FA,RW,50,3,4,7,4,20,33,0,0,0,0,0,68,15
Mats Zuccarello,MIN,RW,81,26,35,61,2,34,166,4,7,11,0,0,88,69
Jason Zucker,MIN,LW,71,13,10,23,-4,20,158,1,0,2,1,1,83,33
