"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"439","Brayden McNabb","L.A","D","81","139.81666666667","19","216","8.09","16","166","8.79","12","111","9.76","0","19","0.00","0.98","15.77","5.83","12","109","9.92","3","59","4.84","0","10","0.00","9","50","15.25","0","5","0.00","4","92","4.17","0","4","0.00","0.00","82.88","0.829","2","19","90","99","2.17","7","35","125","5.30"
"424","Brayden Schenn","PHI","C","80","0.98333333333333","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","1","4","0.00","0","0","1","0.00"
"118","Braydon Coburn","T.B","D","80","186.06666666667","29","317","8.38","26","232","10.08","22","149","12.87","4","15","21.05","2.01","15.96","11.21","17","110","13.39","7","46","13.21","3","8","27.27","10","64","13.51","0","3","0.00","8","196","3.92","1","4","20.00","18.18","89.93","1.081","1","22","100","115","0.99","7","36","134","4.96"
"540","Brendan Gallagher","MTL","R","53","3.0666666666667","0","3","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.14","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","1","0","0","6","100.00","1","0","0","100.00"
"655","Brendan Gaunce","VAN","C","20","21.616666666667","5","31","13.89","5","25","16.67","5","20","20.00","0","5","0.00","0.72","2.2","24.76","5","18","21.74","3","10","23.08","0","3","0.00","2","8","20.00","0","2","0.00","0","13","0.00","0","0","-","0.00","75.00","0.750","0","1","13","21","0.00","0","4","14","0.00"
"318","Brendan Smith","DET","D","63","72.016666666667","9","106","7.83","9","77","10.47","6","52","10.34","1","6","14.29","0.76","7.41","9.28","7","56","11.11","2","22","8.33","1","2","33.33","5","34","12.82","0","3","0.00","1","45","2.17","0","1","0.00","16.67","88.46","1.051","2","10","44","71","4.35","2","13","48","4.00"
"476","Brenden Dillon","S.J","D","76","77.083333333333","10","114","8.06","9","87","9.38","8","63","11.27","3","2","60.00","0.75","7.92","8.66","7","55","11.29","2","29","6.45","2","1","66.67","5","26","16.13","1","0","100.00","0","52","0.00","0","1","0.00","37.50","96.83","1.343","2","9","28","70","6.67","2","17","48","4.00"
"127","Brent Burns","S.J","D","82","177.43333333333","34","268","11.26","31","205","13.14","24","148","13.95","3","20","13.04","2.46","20.66","10.65","17","138","10.97","3","76","3.80","1","10","9.09","14","62","18.42","1","5","16.67","12","119","9.16","1","5","16.67","12.50","86.49","0.990","1","20","93","87","1.06","7","32","158","4.24"
"390","Brent Regner","FLA","D","7","2.2666666666667","1","2","33.33","1","2","33.33","1","2","33.33","0","0","-","0.03","0.11","20.57","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","2","0.00","0","0","-","0.00","100.00","1.000","0","0","0","3","-","2","0","1","66.67"
"122","Brent Seabrook","CHI","D","81","143.83333333333","39","254","13.31","32","198","13.91","24","150","13.79","4","18","18.18","2.45","18.83","11.52","25","113","18.12","9","54","14.29","2","7","22.22","16","59","21.33","2","5","28.57","10","126","7.35","0","5","0.00","16.67","88.00","1.047","1","12","66","151","1.49","9","23","90","9.09"
"523","Brett Connolly","BOS","R","71","1.0666666666667","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"690","Brett Kulak","CGY","D","8","0.83333333333333","0","3","0.00","0","3","0.00","0","2","0.00","0","1","0.00","0","0.51","0.00","0","3","0.00","0","1","0.00","0","1","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","-","50.00","0.50","0","0","2","1","0.00","0","0","2","0.00"
"725","Brett Pesce","CAR","D","69","77.466666666667","14","97","12.61","9","69","11.54","9","44","16.98","1","8","11.11","0.73","6.19","10.57","5","39","11.36","3","23","11.54","1","5","16.67","2","16","11.11","0","1","0.00","4","53","7.02","0","2","0.00","11.11","81.82","0.929","2","7","34","78","5.56","8","12","43","15.69"
"131","Brian Boyle","T.B","C","76","133.75","17","230","6.88","16","176","8.33","14","129","9.79","2","19","9.52","0.93","13.94","6.23","7","101","6.48","2","50","3.85","0","9","0.00","5","51","8.93","1","6","14.29","5","121","3.97","1","4","20.00","14.29","85.27","0.996","4","24","84","94","4.55","7","32","107","6.14"
