,,,,Overall,,,,,,,PP,,SH,,Defense,
Ryan Hartman,MIN,RW,76,19,12,31,13,70,170,4,1,0,0,0,121,30
Scott Hartnell,FA,LW,78,13,24,37,14,63,104,1,2,1,0,0,94,40
Garnet Hathaway,WAS,RW,26,1,4,5,0,44,22,0,0,0,0,0,56,14
Erik Haula,CAR,C,72,15,11,26,5,28,134,4,1,0,0,0,39,38
John Hayden,NJ,C,12,1,3,4,3,4,22,0,0,0,0,0,44,2
Jimmy Hayes,FA,RW,58,2,3,5,-3,29,74,1,0,0,0,0,74,10
Kevin Hayes,PHI,C,76,17,32,49,10,18,143,4,1,6,1,6,40,30
Victor Hedman,TB,D,79,16,56,72,3,47,166,5,4,29,0,0,93,132
Tim Heed,SJ,D,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Danton Heinen,BOS,C,8,0,0,0,-3,2,7,0,0,0,0,0,6,2
Seth Helgeson,NYI,D,9,1,0,1,2,15,3,0,0,0,0,0,16,11
Darren Helm,DET,C,50,8,9,17,-6,20,98,1,2,2,0,1,71,18
Ales Hemsky,FA,RW,15,4,3,7,-1,0,30,0,1,1,0,0,1,4
Matt Hendricks,FA,LW,42,4,3,7,-3,29,42,1,0,0,0,0,79,39
Samuel Henley,FA,C,1,1,0,1,1,2,1,0,0,0,0,0,2,0
Adam Henrique,ANH,C,82,20,20,40,-20,38,142,2,6,4,2,1,88,68
Tomas Hertl,SJ,LW,49,10,12,22,-8,14,100,4,1,1,0,0,76,42
Thomas Hickey,NYI,D,76,4,16,20,-1,35,87,2,0,3,0,0,89,103
Vinnie Hinostroza,ARI,C,49,6,8,14,-1,17,76,2,0,0,0,0,31,19
Niklas Hjalmarsson,ARI,D,73,5,13,18,12,20,61,0,0,0,0,1,23,181
Josh Ho-Sang,NYI,RW,21,4,6,10,1,12,22,0,1,1,0,0,4,2
Mike Hoffman,FLA,LW,74,26,35,61,17,51,224,8,13,13,0,0,41,21
Nick Holden,VGK,D,80,11,23,34,13,35,84,2,3,1,0,1,164,88
Peter Holland,FA,C,48,5,7,12,-16,22,79,0,1,0,0,0,37,9
Korbinian Holzer,ANH,D,32,2,5,7,0,23,14,0,0,0,0,0,71,34
Julius Honka,DAL,D,16,1,4,5,-4,4,34,1,0,1,0,0,9,15
Patric Hornqvist,PIT,RW,70,21,23,44,16,28,223,6,10,7,0,0,227,62
Bo Horvat,VAN,C,81,20,32,52,-7,27,158,1,3,7,2,0,65,41
Marian Hossa,ARI,RW,73,26,19,45,7,8,167,7,5,6,1,0,32,36
Quinton Howden,FA,LW,5,0,0,0,1,0,5,0,0,0,0,0,4,0
Marek Hrivik,FA,LW,16,0,2,2,-3,2,15,0,0,1,0,0,19,5
Jonathan Huberdeau,FLA,LW,31,10,16,26,-2,13,86,2,3,4,0,0,18,7
Jiri Hudler,FA,RW,32,3,8,11,-3,4,27,1,1,0,0,0,9,3
Charles Hudon,MON,LW,3,0,2,2,1,2,3,0,0,0,0,0,11,0
Brad Hunt,MIN,D,12,1,5,6,-1,2,14,0,1,1,0,0,0,3
Matt Hunwick,BUF,D,72,1,18,19,8,18,73,0,0,0,0,0,91,90
Ben Hutton,FA,D,71,5,14,19,-22,31,130,1,2,9,0,0,46,106
Zach Hyman,TOR,RW,82,10,18,28,2,30,156,3,0,0,4,0,109,43
Jarome Iginla,FA,RW,80,14,13,27,-30,70,153,4,7,4,0,0,116,21
Matt Irwin,NSH,D,74,3,11,14,15,26,98,1,0,0,0,2,115,121
Jaromir Jagr,FA,RW,82,16,30,46,2,56,181,2,8,5,0,0,21,4
Mark Jankowski,CGY,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Calle Jarnkrok,NSH,C,81,15,16,31,-1,25,134,1,2,2,1,2,49,29
Dmitrij Jaskin,FA,RW,51,1,10,11,5,18,55,0,0,0,0,0,98,19
Boone Jenner,CLS,LW,82,18,16,34,14,52,211,4,0,1,2,0,216,80
Nick Jensen,WAS,D,49,4,9,13,-7,12,59,0,0,0,0,1,55,56
Nicklas Jensen,FA,RW,7,0,0,0,-2,0,8,0,0,0,0,0,7,2
Ryan Johansen,NSH,C,82,14,47,61,1,60,154,3,4,19,1,0,77,28
Marcus Johansson,BUF,LW,82,24,34,58,25,10,129,5,5,14,0,0,32,22
Stephen Johns,DAL,D,61,4,6,10,-10,36,91,1,0,1,0,0,159,130
Erik Johnson,COL,D,46,2,15,17,-6,9,96,1,0,6,0,0,87,98
Jack Johnson,PIT,D,82,5,18,23,23,32,116,1,1,1,0,1,94,134
Tyler Johnson,TB,C,66,19,26,45,-5,28,130,3,6,11,0,0,46,30
Ryan Johnston,TOR,D,7,0,0,0,-3,4,3,0,0,0,0,0,1,2
Jussi Jokinen,FA,LW,69,11,17,28,-15,39,118,2,4,6,1,0,28,33
Jyrki Jokipakka,FA,D,41,1,5,6,-4,12,29,0,0,0,0,0,31,32
Connor Jones,FA,LW,4,0,0,0,1,2,2,0,0,0,0,0,13,3
Seth Jones,CLS,D,75,12,30,42,6,24,152,3,1,6,0,0,61,118
Josh Jooris,FA,C,54,4,8,12,-2,16,75,0,0,0,0,1,49,30
Jacob Josefson,FA,C,38,1,9,10,-1,16,44,1,0,1,0,0,31,12
Roman Josi,NSH,D,72,12,37,49,7,18,217,1,7,11,0,1,54,119
Tyson Jost,COL,C,6,1,0,1,-5,0,9,0,0,0,0,0,3,3
Tomas Jurco,EDM,RW,29,1,0,1,-12,4,35,0,0,0,0,0,21,9
Nazem Kadri,COL,C,82,32,29,61,-7,95,236,6,12,5,0,0,124,31
Sergey Kalinin,FA,LW,43,2,2,4,-14,15,38,0,0,0,0,0,53,20
Vladislav Kamenev,COL,C,2,0,0,0,-1,2,1,0,0,0,0,0,1,1
Steve Kampfer,BOS,D,11,1,1,2,-2,6,10,0,0,0,0,0,24,10
Evander Kane,SJ,LW,70,28,15,43,-17,113,260,5,3,5,0,0,109,29
Patrick Kane,CHI,RW,82,34,55,89,11,32,292,5,7,16,0,0,28,15
Kasperi Kapanen,TOR,RW,8,1,0,1,-2,0,11,0,0,0,0,0,6,2
Michael Kapla,TOR,D,5,0,0,0,-1,0,4,0,0,0,0,0,5,5
Erik Karlsson,SJ,D,77,17,54,71,10,28,218,5,4,23,0,2,67,201
Melker Karlsson,SJ,C,67,11,11,22,7,22,73,1,0,0,2,0,67,59
William Karlsson,VGK,C,81,6,19,25,10,10,96,3,1,0,0,2,35,24
Ondrej Kase,ANH,RW,53,5,10,15,-1,18,77,2,0,0,0,0,42,14
Zack Kassian,EDM,RW,79,7,17,24,4,101,110,0,0,0,0,0,201,16
Bracken Kearns,FA,C,2,0,0,0,-1,2,3,0,0,0,0,0,5,2
Duncan Keith,CHI,D,80,6,47,53,22,16,183,2,2,13,0,0,24,107
Clayton Keller,ARI,C,3,0,2,2,-3,0,0,0,0,1,0,0,0,0
Chris Kelly,FA,RW,82,5,7,12,-17,23,85,2,0,0,1,0,71,48
Adrian Kempe,LA,C,25,2,4,6,-3,6,32,1,0,2,0,1,23,7
Michal Kempny,WAS,D,50,2,6,8,1,22,67,0,0,0,0,0,76,59
Nicolas Kerdiles,FA,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Tanner Kero,DAL,LW,47,6,10,16,15,8,60,0,0,0,0,0,41,51
Ryan Kesler,ANH,C,82,22,36,58,8,83,186,2,8,12,0,0,146,75
Phil Kessel,ARI,RW,82,23,47,70,3,20,229,4,8,22,0,0,12,15
Jujhar Khaira,EDM,C,10,1,0,1,1,2,10,1,0,0,0,0,20,5
Alex Killorn,TB,C,81,19,17,36,-9,66,176,4,4,6,1,1,99,25
Jakub Kindl,FA,D,39,0,4,4,-11,28,41,0,0,0,0,0,49,37
Dwight King,FA,LW,80,9,7,16,-2,12,110,1,0,0,0,0,120,28
Oscar Klefbom,EDM,D,82,12,26,38,7,6,201,3,3,13,0,1,43,146
Kevin Klein,FA,D,60,3,11,14,5,31,54,0,0,1,0,1,135,123
John Klingberg,DAL,D,80,13,36,49,2,34,124,3,4,13,0,0,42,117
Slater Koekkoek,CHI,D,29,0,4,4,-4,8,27,0,0,0,0,0,25,27
Mikko Koivu,MIN,C,80,18,40,58,27,34,139,4,2,18,0,2,32,65
Leo Komarov,NYI,LW,82,14,18,32,6,31,114,1,4,6,1,1,232,50
Travis Konecny,PHI,C,70,11,17,28,-2,49,133,0,3,1,0,0,92,26
Anze Kopitar,LA,C,76,12,40,52,-10,28,150,0,5,14,0,1,78,59
Lauri Korpikoski,FA,LW,69,8,12,20,5,10,108,0,0,0,0,1,37,36
Kalle Kossila,TOR,C,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Chris Kreider,NYR,LW,75,28,25,53,6,58,186,4,6,7,0,0,132,30
David Krejci,BOS,C,82,23,31,54,-12,26,158,3,8,6,0,0,40,51
Niklas Kronwall,FA,D,57,2,11,13,-7,32,67,0,0,6,0,0,77,81
Torey Krug,BOS,D,81,8,43,51,-10,37,208,1,6,19,0,0,59,82
Marcus Kruger,FA,C,70,5,12,17,7,34,83,0,0,0,0,0,31,62
Nikita Kucherov,TB,RW,74,40,45,85,13,38,246,7,17,15,0,0,30,20
Tom Kuhnhackl,NYI,RW,57,4,12,16,8,18,49,0,0,0,1,1,112,42
Brett Kulak,MON,D,21,0,3,3,-3,12,19,0,0,0,0,0,14,13
Nikolay Kulemin,FA,RW,72,12,11,23,3,18,74,4,1,1,1,1,78,45
Dmitry Kulikov,WPG,D,47,2,3,5,-26,26,42,0,1,2,0,0,60,72
Chris Kunitz,FA,LW,71,9,20,29,0,36,134,3,0,5,0,0,216,28
Sean Kuraly,BOS,C,8,0,1,1,-1,2,11,0,0,0,0,0,9,1
Evgeny Kuznetsov,WAS,C,82,19,40,59,18,46,170,4,3,11,0,0,57,18
Kevin Labanc,SJ,RW,55,8,12,20,9,22,70,2,0,2,0,0,19,14
Joseph LaBate,FA,C,13,0,0,0,-2,21,5,0,0,0,0,0,23,2
Andrew Ladd,NYI,LW,78,23,8,31,-14,45,142,4,3,2,1,0,112,54
Paul LaDue,LA,D,22,0,8,8,-5,4,27,0,0,4,0,0,17,13
Patrik Laine,WPG,RW,73,36,28,64,7,26,204,5,9,5,0,0,80,33
Anton Lander,FA,C,22,1,3,4,2,6,12,0,0,0,0,0,28,7
Gabriel Landeskog,COL,LW,72,18,15,33,-25,62,169,2,5,1,1,0,143,41
Nick Lappin,STL,RW,43,4,3,7,-17,17,57,0,0,0,0,0,36,11
Dylan Larkin,DET,C,80,17,15,32,-28,37,178,1,5,2,1,0,67,22
Philip Larsen,FA,D,26,1,5,6,-8,4,32,0,0,2,0,0,12,22
Adam Larsson,EDM,D,79,4,15,19,21,55,85,0,0,0,0,0,253,160
Jacob Larsson,ANH,D,4,0,0,0,-1,2,2,0,0,0,0,0,1,1
Johan Larsson,BUF,C,36,6,5,11,-7,20,49,2,1,0,0,0,33,23
Brian Lashoff,DET,D,5,0,0,0,-3,0,1,0,0,0,0,0,8,4
Scott Laughton,PHI,C,2,0,0,0,0,0,4,0,0,0,0,0,3,0
Curtis Lazar,BUF,C,37,1,3,4,-8,4,26,0,0,0,0,0,66,17
Nick Leddy,NYI,D,81,11,35,46,-3,12,137,1,3,12,0,0,77,109
Anders Lee,NYI,C,81,34,18,52,9,56,191,6,9,5,0,0,172,34
Artturi Lehkonen,MON,LW,73,18,10,28,-1,8,158,3,2,2,1,0,72,25
Jori Lehtera,FA,C,64,7,15,22,-6,34,67,1,0,3,0,0,64,29
Taylor Leier,BUF,LW,10,1,1,2,-1,4,7,0,0,0,0,0,7,0
Josh Leivo,VAN,LW,13,2,8,10,2,4,27,0,1,2,0,0,5,4
Brett Lernout,VGK,D,2,0,0,0,-1,0,3,0,0,0,0,0,8,3
Kris Letang,PIT,D,41,5,29,34,2,32,122,2,2,12,0,1,70,70
Mark Letestu,WPG,C,78,16,19,35,-2,17,120,6,11,3,2,1,71,34
Trevor Lewis,LA,C,82,12,12,24,-6,30,145,3,1,1,0,0,174,30
Michael Liambas,MIN,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
John-Michael Liles,FA,D,36,0,5,5,1,4,36,0,0,3,0,0,25,41
Oscar Lindberg,FA,C,65,8,12,20,2,32,86,1,0,1,0,0,94,36
Petteri Lindbohm,FA,D,7,0,0,0,-4,4,10,0,0,0,0,0,10,5
Esa Lindell,DAL,D,73,6,12,18,8,22,99,2,0,2,0,0,93,119
Anton Lindholm,COL,D,12,0,0,0,-8,2,7,0,0,0,0,0,38,12
Elias Lindholm,CGY,RW,72,11,34,45,-2,16,151,0,2,9,1,4,99,43
Hampus Lindholm,ANH,D,66,6,14,20,13,36,94,2,1,4,0,0,98,94
Bryan Little,WPG,C,59,21,26,47,-7,18,119,3,6,6,0,0,35,23
Matt Lorito,NYI,LW,2,0,1,1,0,0,6,0,0,0,0,0,0,0
Ben Lovejoy,FA,D,82,1,6,7,-7,39,84,1,0,0,0,0,82,150
Adam Lowry,WPG,LW,82,15,14,29,1,52,122,1,5,4,0,1,217,56
Milan Lucic,CGY,LW,82,23,27,50,-3,50,175,3,12,13,0,0,202,20
Roman Lyubimov,FA,LW,47,4,2,6,-2,8,41,1,0,0,0,0,28,16
Olli Maatta,CHI,D,55,1,6,7,17,12,66,0,0,0,0,0,72,102
Clarke MacArthur,OTT,LW,4,0,0,0,-1,0,5,0,0,0,0,0,4,1
Andrew MacDonald,CGY,D,73,2,16,18,-5,26,65,0,0,0,0,1,39,151
Derek MacKenzie,FA,C,82,6,10,16,-7,50,91,1,0,0,2,3,192,45
Nathan MacKinnon,COL,C,82,16,37,53,-14,16,251,4,2,12,2,0,56,30
Denis Malgin,FLA,C,47,6,4,10,-5,8,67,1,2,0,0,0,34,15
Evgeni Malkin,PIT,C,62,33,39,72,18,77,191,6,11,12,0,0,40,25
Sean Malone,BUF,C,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Brandon Manning,EDM,D,65,3,9,12,-12,83,84,1,0,0,1,0,121,79
Josh Manson,ANH,D,82,5,12,17,14,82,88,1,0,0,1,1,227,79
Anthony Mantha,DET,RW,60,17,19,36,10,53,133,3,1,2,0,0,46,33
Brad Marchand,BOS,LW,80,39,46,85,18,81,226,8,9,15,3,2,51,35
Alexey Marchenko,FA,D,41,1,7,8,7,12,36,0,0,0,0,1,22,59
Jonathan Marchessault,VGK,LW,75,30,21,51,-21,38,193,6,8,10,0,0,105,17
Martin Marincin,TOR,D,25,1,6,7,3,16,22,0,0,0,0,1,25,27
Andrei Markov,FA,D,62,6,30,36,18,16,98,1,1,11,0,1,39,73
Patrick Marleau,FA,LW,82,27,19,46,4,28,190,6,7,9,0,0,82,32
Mitch Marner,TOR,C,77,19,42,61,0,38,176,5,4,17,0,0,41,39
Patrick Maroon,TB,LW,81,27,15,42,13,95,178,5,3,3,0,0,189,23
Matt Martin,NYI,LW,82,5,4,9,0,123,66,0,0,0,0,0,300,26
Paul Martin,FA,D,82,4,22,26,10,20,57,1,0,0,0,0,41,124
Alec Martinez,LA,D,82,9,30,39,-17,24,144,3,2,13,1,0,137,167
Jordan Martinook,CAR,LW,77,11,14,25,-8,40,109,2,1,1,1,2,50,68
Andreas Martinsen,ANH,LW,64,3,4,7,-14,32,73,0,0,0,0,1,173,28
Mike Matheson,FLA,D,81,7,10,17,-5,36,179,0,0,1,0,1,69,118
Auston Matthews,TOR,C,82,40,29,69,2,14,279,8,8,13,0,0,21,61
Shawn Matthias,FA,C,45,8,4,12,0,13,51,1,0,0,1,0,47,19
Scott Mayfield,NYI,D,25,2,7,9,-1,35,39,0,0,0,0,0,37,36
Jamie McBain,FA,D,3,0,0,0,-1,0,3,0,0,0,0,0,0,4
Jake McCabe,BUF,D,76,3,17,20,-7,26,79,1,1,3,0,0,73,114
Jared McCann,PIT,C,29,1,6,7,-1,4,44,0,0,1,0,0,28,6
Michael McCarron,MON,C,31,1,4,5,-4,41,31,0,0,0,0,0,75,11
Jay McClement,FA,C,65,5,3,8,-8,18,37,1,0,0,1,0,49,40
Max McCormick,CAR,LW,7,0,0,0,-3,0,7,0,0,0,0,0,13,1
Ian McCoshen,FLA,D,3,0,1,1,0,0,0,0,0,0,0,0,3,2
Connor McDavid,EDM,C,82,30,70,100,27,26,251,6,3,24,1,1,34,29
Ryan McDonagh,TB,D,77,6,36,42,20,37,153,1,1,14,1,0,80,160
Colin McDonald,NYI,RW,3,1,0,1,1,0,5,0,0,0,0,0,9,0
Evan McEneny,FA,D,1,0,0,0,-1,0,1,0,0,0,0,0,0,0
Brock McGinn,CAR,LW,57,7,9,16,-11,6,74,1,0,0,0,1,91,22
Jamie McGinn,FA,LW,72,9,8,17,-23,23,116,2,0,2,0,0,116,18
Dylan McIlrath,DET,D,6,1,0,1,-2,14,3,0,0,0,0,0,15,4
Greg McKegg,NYR,C,46,3,4,7,-3,22,36,0,0,0,0,0,48,16
Curtis McKenzie,VGK,LW,53,6,10,16,5,72,66,3,0,0,0,0,103,31
Cody McLeod,FA,LW,59,5,1,6,-3,145,30,0,0,0,0,0,150,14
Brayden McNabb,VGK,D,49,2,2,4,1,54,47,0,0,0,0,0,110,54
Mark McNeill,FA,C,1,0,0,0,-1,0,1,0,0,0,0,0,0,1
Adam McQuaid,FA,D,77,2,8,10,4,71,64,1,0,0,0,1,157,144
Wade Megan,FA,C,3,1,0,1,1,0,6,0,0,0,0,0,2,0
Jaycob Megna,VGK,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jayson Megna,COL,LW,58,4,4,8,-4,6,72,0,0,1,0,0,87,23
Timo Meier,SJ,LW,34,3,3,6,1,10,85,1,0,0,0,0,64,5
Julian Melchiori,NJ,D,18,0,2,2,0,8,15,0,0,0,0,0,30,31
Jon Merrill,VGK,D,51,1,5,6,-9,24,48,0,0,0,0,0,39,68
Marc Methot,FA,D,68,0,12,12,13,24,69,0,0,0,0,0,164,77
Milan Michalek,FA,LW,5,1,1,2,-2,2,6,0,0,0,0,0,7,9
Zbynek Michalek,FA,D,3,0,0,0,1,0,3,0,0,0,0,0,7,5
Sonny Milano,CLS,LW,4,0,0,0,-3,0,2,0,0,0,0,0,3,2
Colin Miller,BUF,D,61,6,7,13,0,55,85,0,1,1,0,0,85,36
Drew Miller,FA,LW,55,5,2,7,-12,18,43,1,0,0,0,0,71,52
J.T. Miller,VAN,C,82,22,34,56,17,21,132,6,2,5,3,1,101,56
Kevan Miller,BOS,D,58,3,10,13,1,50,49,1,0,0,0,1,121,76
Garrett Mitchell,PHI,RW,1,0,0,0,0,0,0,0,0,0,0,0,2,0
John Mitchell,FA,C,65,3,4,7,-12,45,57,1,0,0,0,0,88,45
Torrey Mitchell,FA,C,78,8,9,17,5,38,68,1,0,0,0,0,47,56
Zack Mitchell,FA,RW,11,0,0,0,-1,0,10,0,0,0,0,0,14,3
Griffen Molino,COL,LW,5,0,0,0,-2,0,3,0,0,0,0,0,1,1
Sean Monahan,CGY,C,82,27,31,58,-1,20,199,4,8,9,1,0,34,25
Brandon Montour,BUF,D,27,2,4,6,11,14,50,0,0,1,0,0,21,24
Dominic Moore,FA,C,82,11,14,25,2,44,96,1,0,0,3,1,63,42
John Moore,BOS,D,63,12,10,22,-7,39,102,1,1,2,0,0,68,61
Samuel Morin,PHI,D,1,0,0,0,0,0,2,0,0,0,0,0,7,0
Josh Morrissey,WPG,D,82,6,14,20,6,38,99,3,1,0,0,0,145,139
Joe Morrow,NYR,D,17,0,1,1,-4,8,19,0,0,0,0,0,29,19
Tyler Motte,VAN,C,33,4,3,7,2,14,46,0,0,0,0,0,27,24
Matt Moulson,WAS,LW,81,14,18,32,-4,10,134,2,11,7,0,0,37,18
Mirco Mueller,NJ,D,4,1,1,2,2,0,3,0,0,0,0,0,2,3
Connor Murphy,CHI,D,77,2,15,17,-13,45,81,1,0,0,1,0,201,119
Ryan Murphy,FA,D,27,0,2,2,-11,8,17,0,0,0,0,0,2,31
Ryan Murray,CLS,D,60,2,9,11,3,24,52,0,0,1,0,1,23,96
Jake Muzzin,TOR,D,82,9,19,28,-21,46,184,1,4,6,0,0,162,122
Tyler Myers,VAN,D,11,2,3,5,5,13,16,0,0,0,0,1,12,21
Jakub Nakladal,FA,D,3,0,0,0,-4,0,3,0,0,0,0,0,2,4
Vladislav Namestnikov,NYR,C,74,10,18,28,-4,31,114,0,3,3,0,1,72,31
Rick Nash,FA,LW,67,23,15,38,9,26,195,3,6,3,1,0,63,35
Riley Nash,CLS,C,81,7,10,17,-1,14,125,2,0,0,1,2,67,36
James Neal,EDM,RW,70,23,18,41,-10,35,202,5,5,8,0,0,84,18
Chris Neil,FA,RW,53,1,3,4,-11,63,42,0,0,0,0,0,108,20
Brock Nelson,NYI,C,81,20,25,45,-6,36,173,4,1,5,0,1,50,48
Casey Nelson,BUF,D,11,0,0,0,-3,4,10,0,0,0,0,0,15,5
Patrik Nemeth,DET,D,40,0,3,3,-4,14,46,0,0,0,0,0,45,47
Aaron Ness,FA,D,2,0,0,0,-1,0,0,0,0,0,0,0,2,2
Nikita Nesterov,FA,D,48,4,13,17,0,24,63,0,1,1,0,0,84,21
Andrej Nestrasil,FA,C,19,1,4,5,-3,2,27,0,0,0,0,0,10,6
Nino Niederreiter,CAR,RW,82,25,32,57,17,53,186,3,8,6,0,0,120,20
Frans Nielsen,DET,C,79,17,24,41,-19,18,162,0,4,11,2,0,64,54
Matt Nieto,COL,LW,59,7,6,13,-12,8,85,1,0,0,0,1,41,34
Boo Nieves,NYR,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Matt Niskanen,PHI,D,78,5,34,39,20,32,154,2,1,8,0,1,147,93
Stefan Noesen,DAL,C,44,8,2,10,6,24,63,0,0,0,0,0,50,10
Nelson Nogier,WPG,D,10,0,0,0,-1,5,8,0,0,0,0,0,12,5
Jordan Nolan,STL,RW,46,4,4,8,-3,44,39,0,0,0,0,0,62,7
Joakim Nordstrom,BOS,C,82,7,5,12,-12,17,104,2,0,0,1,0,148,41
Tomas Nosek,VGK,LW,11,1,0,1,-1,2,19,0,0,0,0,0,10,5
Ryan Nugent-Hopkins,EDM,LW,82,18,25,43,-10,29,200,4,5,6,0,0,47,35
Darnell Nurse,EDM,D,44,5,6,11,0,33,85,0,0,0,0,0,107,53
Markus Nutivaara,CLS,D,66,2,5,7,7,6,66,0,0,0,0,0,36,38
Alexander Nylander,CHI,RW,4,0,1,1,-2,0,4,0,0,0,0,0,1,2
William Nylander,TOR,C,81,22,39,61,-3,32,205,2,9,17,0,0,25,16
Gustav Nyquist,CLS,RW,76,12,36,48,0,18,165,2,2,7,0,0,54,20
Liam O'Brien,WAS,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rob O'Gara,STL,D,3,0,0,0,1,0,2,0,0,0,0,0,3,7
Danny O'Regan,NYR,C,3,1,0,1,-2,0,5,0,1,0,0,0,1,2
Cal O'Reilly,PHI,C,11,0,1,1,-6,0,3,0,0,0,0,0,2,3
Ryan O'Reilly,STL,C,72,20,35,55,-1,10,189,3,8,16,1,1,21,45
Johnny Oduya,FA,D,52,2,7,9,-4,18,37,0,0,0,0,0,29,123
Jordan Oesterle,ARI,D,2,0,0,0,-1,0,2,0,0,0,0,0,2,3
Kyle Okposo,BUF,RW,65,19,26,45,-7,24,156,2,7,16,0,0,53,25
Jamie Oleksiak,DAL,D,41,5,2,7,-4,37,33,1,0,0,0,1,51,53
Steven Oleksy,FA,D,11,0,1,1,2,24,11,0,0,0,0,0,20,19
Gustav Olofsson,MON,D,13,0,3,3,-1,2,7,0,0,1,0,0,10,16
Dmitry Orlov,WAS,D,82,6,27,33,30,51,125,0,1,5,0,0,122,94
Brooks Orpik,FA,D,79,0,14,14,32,48,93,0,0,0,0,0,181,132
T.J. Oshie,WAS,RW,68,33,23,56,28,36,143,4,7,6,1,2,95,50
Steve Ott,FA,C,53,3,4,7,-8,80,45,0,0,0,0,0,144,23
Xavier Ouellet,MON,D,66,3,9,12,2,51,89,0,0,0,0,0,73,87
Alex Ovechkin,WAS,LW,82,33,36,69,6,50,313,7,17,9,0,0,216,29
Magnus Paajarvi,FA,LW,32,8,5,13,9,6,51,3,1,0,0,0,29,16
Max Pacioretty,VGK,LW,81,35,32,67,15,38,268,7,8,5,1,1,63,35
Jean-Gabriel Pageau,OTT,C,82,12,21,33,13,24,169,2,0,0,0,2,161,79
Iiro Pakarinen,FA,RW,14,2,2,4,2,2,15,1,0,0,0,0,30,6
Ondrej Palat,TB,LW,75,17,35,52,8,39,162,3,5,10,0,0,141,66
Kyle Palmieri,NJ,RW,80,26,27,53,2,46,192,3,8,11,1,0,124,36
Artemi Panarin,NYR,LW,82,31,43,74,18,21,211,5,9,8,0,0,23,14
Richard Panik,WAS,RW,82,22,22,44,14,58,155,5,4,5,0,0,147,45
Cedric Paquette,TB,C,58,4,6,10,-6,80,68,0,0,0,0,0,144,46
Colton Parayko,STL,D,81,4,31,35,7,32,188,2,4,6,0,1,80,117
Adam Pardy,FA,D,4,0,0,0,-1,6,4,0,0,0,0,0,3,3
P.A. Parenteau,FA,RW,67,13,15,28,-18,35,123,2,4,4,0,0,60,9
Zach Parise,MIN,LW,69,19,23,42,-3,30,194,4,6,6,0,0,46,69
David Pastrnak,BOS,RW,75,34,36,70,11,34,262,6,10,14,0,0,72,32
Greg Pateryn,MIN,D,36,1,8,9,-1,10,42,0,0,0,0,0,69,66
Nick Paul,OTT,LW,1,0,0,0,-2,0,4,0,0,0,0,0,3,0
Joe Pavelski,DAL,C,81,29,39,68,11,34,233,7,7,15,1,0,130,73
Tanner Pearson,VAN,LW,80,24,20,44,5,13,187,5,3,5,1,1,124,31
Matthew Peca,MON,C,10,1,1,2,-3,2,9,0,0,0,0,0,9,2
Adam Pelech,NYI,D,44,3,7,10,-5,6,40,0,0,0,0,0,73,68
Brendan Perlini,CHI,LW,57,14,7,21,-4,20,92,2,3,2,0,0,42,15
Mathieu Perreault,WPG,C,65,13,32,45,-11,30,134,3,3,12,0,0,97,26
David Perron,STL,RW,82,18,28,46,-2,54,151,3,3,10,1,0,87,28
Corey Perry,DAL,RW,82,19,34,53,2,76,215,3,5,15,0,0,81,35
Brett Pesce,CAR,D,82,2,18,20,23,20,109,0,0,2,0,0,57,148
Nicolas Petan,TOR,C,54,1,12,13,-13,12,57,0,0,8,0,0,12,10
Alex Petrovic,BOS,D,49,1,13,14,-1,79,55,0,0,0,0,0,106,55
Jeff Petry,MON,D,80,8,20,28,3,22,172,1,2,5,0,0,171,145
Dion Phaneuf,FA,D,81,9,21,30,-6,100,156,2,4,12,1,0,132,156
Blake Pietila,ANH,LW,10,0,1,1,-5,4,9,0,0,0,0,0,16,5
Alex Pietrangelo,STL,D,80,14,34,48,3,24,181,4,6,13,0,0,38,158
Brandon Pirri,VGK,C,60,8,10,18,-8,25,96,3,5,4,0,0,41,20
Tyler Pitlick,PHI,C,31,8,3,11,0,6,54,1,0,0,0,0,70,13
Tomas Plekanec,FA,C,78,10,18,28,10,24,139,3,3,4,2,0,57,45
Brayden Point,TB,C,68,18,22,40,4,14,122,2,5,7,0,0,39,31
Roman Polak,DAL,D,75,4,7,11,10,65,64,1,0,0,0,0,232,133
Jason Pominville,FA,RW,78,13,34,47,2,4,176,2,0,7,0,0,44,38
Kevin Porter,BUF,C,2,0,0,0,-1,0,0,0,0,0,0,0,5,1
Paul Postma,FA,D,65,1,13,14,3,15,50,0,0,0,0,0,36,42
Andrew Poturalski,ANH,C,2,0,0,0,-3,0,1,0,0,0,0,0,1,1
Benoit Pouliot,FA,LW,67,8,6,14,-5,34,77,1,0,0,0,0,39,39
Derrick Pouliot,STL,D,11,0,0,0,-4,4,11,0,0,0,0,0,14,8
Shane Prince,FA,LW,50,5,13,18,-9,18,71,2,1,2,0,0,36,12
