Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Paul Stastny,14,26,40,28,8,119,41,26,8
Jordan Staal,15,25,40,30,6,142,141,25,2
Kyle Turris,14,26,40,32,7,115,21,30,5
Ryan Donato,18,22,40,12,12,192,35,27,-8
Tyler Bertuzzi,17,23,40,48,5,139,91,49,2
Danton Heinen,13,27,40,16,9,125,49,34,8
Alexander Kerfoot,13,27,40,36,15,106,34,34,-3
Chris Tierney,13,27,40,18,7,117,36,52,-8
Marcus Johansson,17,22,39,10,11,111,26,22,-4
Jacob Trouba,8,31,39,51,11,156,104,140,2
Jake Gardiner,5,34,39,30,9,104,60,79,12
Morgan Frost,14,25,39,28,4,140,40,30,5
Robert Thomas,11,28,39,16,8,95,15,26,1
Kasperi Kapanen,20,19,39,22,2,173,113,22,4
Alex Killorn,17,22,39,48,7,150,84,23,9
Jesper Bratt,11,27,38,14,11,113,47,25,-6
Ryan Ellis,10,28,38,20,7,137,58,133,11
Alexander Wennberg,6,32,38,14,10,83,40,45,4
Barrett Hayton,14,24,38,28,6,140,40,30,2
Jared Spurgeon,11,27,38,16,9,140,74,139,6
Mikhail Sergachev,8,30,38,34,11,134,94,78,9
Craig Smith,19,19,38,24,8,198,77,29,7
Wayne Simmonds,21,17,38,85,13,167,133,41,-11
Duncan Keith,5,33,38,44,4,156,36,134,3
James Neal,19,18,37,28,9,172,55,22,-8
Bobby Ryan,14,23,37,30,10,145,95,50,-13
Charlie McAvoy,8,29,37,62,5,100,142,108,14
Nick Foligno,18,19,37,48,8,151,172,53,1
Mathieu Perreault,15,22,37,38,10,116,118,25,-3
Quinn Hughes,3,34,37,24,17,105,17,28,0
Shea Theodore,10,27,37,18,10,190,31,88,1
Boone Jenner,17,20,37,45,2,191,190,78,2
Miro Heiskanen,13,24,37,18,9,200,38,81,-7
Artem Anisimov,17,19,36,20,7,130,21,33,-8
Jared McCann,16,20,36,30,3,147,60,42,5
Conor Sheary,15,21,36,14,5,147,29,28,-2
Ryan Pulock,10,26,36,18,10,191,134,123,3
Frans Nielsen,13,23,36,16,9,134,68,58,-4
Carl Soderberg,16,20,36,24,7,163,76,60,-8
Mattias Ekholm,7,29,36,44,7,136,68,110,11
Ondrej Palat,11,24,35,22,8,110,100,43,4
Roope Hintz,14,21,35,24,7,133,111,46,-6
Alexander Steen,12,23,35,24,7,117,45,52,-2
Brett Connolly,17,18,35,34,3,124,78,25,8
Dominik Kahun,12,23,35,6,2,127,12,25,4
Richard Panik,16,19,35,46,5,143,139,46,3
Jack Roslovic,13,22,35,6,7,103,47,29,1
Justin Faulk,12,23,35,44,13,218,139,104,-6
Jake Muzzin,8,27,35,45,8,155,169,128,8
Darnell Nurse,8,27,35,81,5,203,169,156,5
Connor Brown,14,21,35,18,5,122,41,42,1
Kevin Shattenkirk,6,28,34,32,14,132,66,87,-6
Josh Morrissey,8,26,34,30,8,108,107,142,6
Nick Ritchie,13,21,34,79,6,129,197,30,3
Conor Garland,18,16,34,28,8,189,53,28,5
Micheal Ferland,16,18,34,48,8,140,171,24,3
