"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"32","Justin Williams","WSH","R","80","31.15","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","3","1","4","0","1","2","1","0","100.00"
"461","Jyrki Jokipakka","CGY, OTT","D","41","7.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"227","Karl Alzner","WSH","D","82","251.21666666667","0","0","0","0","0","0.00","4","0.00","0.13","5","5","0","0","0","0","0","0","0","0","0","1","13","7","17","4","38","0","0","-"
"548","Karl Stollery","N.J","D","11","0.83333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"702","Kasperi Kapanen","TOR","R","8","11.166666666667","0","0","0","0","0","-","1","0.00","0.18","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-"
"170","Keith Yandle","FLA","D","82","139.08333333333","0","1","0","1","1","33.33","3","0.00","0.08","7","5","1","0","0","0","2","1","1","0","0","5","7","3","3","0","3","0","0","-"
"459","Kevan Miller","BOS","D","58","115.75","0","1","0","1","1","50.00","4","0.00","0.04","4","4","0","0","0","0","2","1","1","0","0","4","2","0","10","5","18","0","0","-"
"52","Kevin Bieksa","ANA","D","81","136.91666666667","0","0","0","0","0","0.00","3","0.00","0.21","5","4","3","0","1","0","4","2","2","0","0","4","7","2","12","3","11","0","0","-"
"370","Kevin Connauton","ARI","D","24","19.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","12","2","1","0","1","0","1","1","1","0","2","0","0","-"
"695","Kevin Fiala","NSH","L","54","6.8166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"445","Kevin Gravel","L.A","D","49","25.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0","1","1","4","0","0","-"
"415","Kevin Hayes","NYR","C, R","76","108.1","1","6","6","0","7","100.00","11","9.09","0.63","14","12","6","1","0","1","2","1","1","0","0","2","0","7","1","3","2","52","58","47.27"
"97","Kevin Klein","NYR","D","60","75.666666666667","0","1","0","1","1","33.33","0","-","0","0","0","0","0","0","0","2","1","1","0","0","2","2","0","5","3","21","0","0","-"
"718","Kevin Labanc","S.J","R","55","10.516666666667","0","0","0","0","0","-","1","0.00","0.07","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"136","Kevin Porter","PIT","C","2","2.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","-"
"759","Kevin Rooney","N.J","C","4","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"235","Kevin Shattenkirk","STL, WSH","D","80","24.6","0","1","0","1","1","inf","1","0.00","0.08","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","2","3","0","0","-"
"489","Klas Dahlbeck","CAR","D","43","18.066666666667","0","0","0","0","0","0.00","1","0.00","0.16","2","2","1","1","0","1","0","0","0","0","0","1","0","0","2","0","3","0","0","-"
"211","Korbinian Holzer","ANA","D","32","27.516666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","0","4","0","0","-"
"168","Kris Letang","PIT","D","41","89.016666666667","0","1","1","0","1","100.00","0","-","0.09","2","2","0","0","0","0","6","3","3","0","0","2","2","4","9","4","9","0","0","-"
"169","Kris Russell","EDM","D","68","158.01666666667","0","0","0","0","0","0.00","0","-","0","2","1","0","0","0","0","4","2","2","0","0","1","11","2","4","2","35","0","0","-"
"139","Kris Versteeg","CGY","R","69","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","4","2","2","0","0","1","0","0","0","0","0","0","0","-"
"110","Kyle Brodziak","STL","C","69","139.48333333333","0","0","0","0","0","0.00","5","0.00","0.86","8","7","6","3","0","1","8","4","4","0","0","1","2","9","1","2","6","54","63","46.15"
"330","Kyle Clifford","L.A","L","73","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","-"
"193","Kyle Okposo","BUF","R","65","9.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"327","Kyle Palmieri","N.J","C, R","80","77.2","1","0","0","0","1","50.00","2","50.00","0.2","3","3","2","0","0","0","0","0","0","0","0","9","1","4","5","1","2","1","2","33.33"
"102","Kyle Quincey","CBJ, N.J","D","73","134.2","0","0","0","0","0","0.00","0","-","0","1","0","1","0","0","0","8","4","4","0","0","2","2","3","7","3","15","0","0","-"
"245","Kyle Turris","OTT","C","78","56.1","0","0","0","0","0","0.00","5","0.00","0.43","8","6","7","2","2","0","2","1","1","0","0","2","0","2","0","2","9","28","22","56.00"
"299","Lance Bouma","CGY","C, L","61","98.466666666667","0","0","0","0","0","-","5","0.00","0.57","10","8","5","2","1","0","5","1","0","1","0","3","0","3","1","0","9","1","2","33.33"
"263","Lars Eller","WSH","C","81","175.83333333333","1","1","1","0","2","100.00","10","10.00","0.79","15","12","8","3","1","0","2","1","1","0","0","3","2","8","7","5","12","65","102","38.92"
"642","Laurent Dauphin","ARI","C","24","40.9","1","0","0","0","1","100.00","6","16.67","0.62","8","7","6","6","0","1","4","2","2","0","0","1","0","2","2","3","2","3","5","37.50"
