"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"596","Alan Quine","NYI","C","2","3.8666666666667","3","2","60.00","2","1","66.67","2","1","66.67","0","0","-","0.09","0.02","81.61","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","2","33.33","0","0","-","0.00","100.00","1.000","4","0","0","1","100.00","4","1","1","80.00"
"341","Alec Martinez","L.A","D","78","153.71666666667","293","31","90.43","216","24","90.00","145","17","89.51","24","2","92.31","18.3","2.07","89.83","131","17","88.51","50","8","86.21","8","1","88.89","81","9","90.00","8","0","100.00","153","10","93.87","8","0","100.00","16.55","88.24","1.048","73","10","4","91","94.81","118","17","9","92.91"
"748","Aleksander Barkov","FLA","C","66","187.55","270","35","88.52","210","31","87.14","155","23","87.08","21","2","91.30","21.05","2","91.34","149","22","87.13","66","8","89.19","13","2","86.67","83","14","85.57","7","0","100.00","116","5","95.87","1","0","100.00","13.55","91.30","1.049","85","21","5","63","94.44","150","36","12","92.59"
"66","Ales Hemsky","DAL","R","75","120.66666666667","166","23","87.83","115","20","85.19","80","15","84.21","7","5","58.33","10.16","1.53","86.88","87","13","87.00","29","6","82.86","3","4","42.86","58","7","89.23","3","1","75.00","68","6","91.89","1","0","100.00","8.75","66.67","0.754","48","14","2","97","96.00","72","34","3","96.00"
"252","Alex Biega","VAN","D","51","11.583333333333","9","1","90.00","7","1","87.50","6","0","100.00","1","0","100.00","0.78","0.05","93.82","4","1","80.00","3","0","100.00","1","0","100.00","1","1","50.00","0","0","-","5","0","100.00","0","0","-","16.67","-","0.17","3","3","2","22","60.00","4","4","3","57.14"
"426","Alex Chiasson","OTT","R","77","85.183333333333","128","12","91.43","96","10","90.57","67","5","93.06","10","0","100.00","6.57","0.58","91.93","50","5","90.91","19","2","90.48","3","0","100.00","31","3","91.18","2","0","100.00","69","6","92.00","4","0","100.00","14.93","100.00","1.149","35","9","1","61","97.22","52","19","3","94.55"
"661","Alex Galchenyuk","MTL","C","82","212.08333333333","329","52","86.35","248","47","84.07","174","34","83.65","23","6","79.31","23.22","4.62","83.40","157","24","86.74","73","13","84.88","12","5","70.59","84","11","88.42","4","1","80.00","159","13","92.44","7","0","100.00","13.22","82.35","0.956","130","26","2","65","98.48","187","40","9","95.41"
"178","Alex Goligoski","DAL","D","82","160.18333333333","249","32","88.61","169","29","85.35","122","23","84.14","16","5","76.19","16.41","2.31","87.64","129","18","87.76","52","8","86.67","8","5","61.54","77","10","88.51","5","0","100.00","102","8","92.73","2","0","100.00","13.11","78.26","0.914","54","27","3","99","94.74","100","49","6","94.34"
"304","Alex Grant","ARI","D","5","3.6833333333333","5","1","83.33","4","1","80.00","4","1","80.00","0","1","0.00","0.24","0.09","72.84","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","0.00","0.000","0","0","0","3","-","3","0","1","75.00"
"298","Alex Killorn","T.B","L","81","186.41666666667","300","35","89.55","225","31","87.89","155","26","85.64","15","4","78.95","17.52","1.86","90.39","134","18","88.16","56","6","90.32","7","2","77.78","78","12","86.67","5","1","83.33","158","8","95.18","3","0","100.00","9.68","84.62","0.943","85","22","4","88","95.51","143","35","8","94.70"
"162","Alex Ovechkin","WSH","L","79","339.18333333333","650","68","90.53","506","56","90.04","355","46","88.53","52","5","91.23","45.62","3.26","93.33","318","30","91.38","107","14","88.43","25","2","92.59","211","16","92.95","19","3","86.36","315","21","93.75","8","0","100.00","14.65","89.13","1.038","137","18","1","14","99.28","305","56","24","92.71"
"513","Alex Petrovic","FLA","D","66","10.9","11","1","91.67","8","1","88.89","6","1","85.71","0","0","-","0.8","0.08","91.22","6","0","100.00","3","0","100.00","0","0","-","3","0","100.00","0","0","-","4","1","80.00","0","0","-","0.00","100.00","1.000","5","4","1","26","83.33","8","6","1","88.89"
"356","Alex Pietrangelo","STL","D","73","167.85","184","29","86.38","140","24","85.37","107","24","81.68","16","2","88.89","10.66","2.02","84.04","76","15","83.52","27","9","75.00","7","1","87.50","49","6","89.09","5","0","100.00","102","11","90.27","3","1","75.00","14.95","91.67","1.066","48","22","5","102","90.57","96","36","9","91.43"
"22","Alex Tanguay","ARI, COL","L","70","157.86666666667","244","35","87.46","172","30","85.15","126","25","83.44","19","3","86.36","15.31","2.67","85.13","115","22","83.94","48","9","84.21","10","2","83.33","67","13","83.75","8","0","100.00","118","5","95.93","1","1","50.00","15.08","88.00","1.031","99","10","5","44","95.19","153","23","10","93.87"
